,player,player_upper,api_id,birthday,season_age,position,position_type,shoots,team,season,session,gp,toi,toi_gp,toi_perc,g,a1,a2,points,isf,iff,icf
45,Andrew Alberts,ANDREW.ALBERTS,8469626,1981-06-30,26.0,D,D,L,BOS,20072008,R,34.0,8.82,0.26,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Andrew Brunette,ANDREW.BRUNETTE,8459596,1973-08-24,34.0,L,F,L,COL,20072008,R,82.0,254.83,3.11,45.56,7.0,6.0,3.0,16.0,31.0,40.0,50.0
47,Andrew Cogliano,ANDREW.COGLIANO,8471699,1987-06-14,20.0,C,F,L,EDM,20072008,R,82.0,166.68,2.03,30.01,1.0,3.0,3.0,7.0,12.0,19.0,23.0
48,Andrew Ebbett,ANDREW.EBBETT,8473682,1983-01-02,24.0,C,F,L,ANA,20072008,R,3.0,9.35,3.12,30.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
49,Andrew Ference,ANDREW.FERENCE,8466333,1979-03-17,28.0,D,D,L,BOS,20072008,R,58.0,122.97,2.12,31.59,0.0,2.0,2.0,4.0,15.0,23.0,38.0
50,Andrew Ladd,ANDREW.LADD,8471217,1985-12-12,21.0,L,F,L,CAR,20072008,R,43.0,58.6,1.36,19.06,0.0,2.0,0.0,2.0,7.0,12.0,12.0
51,Andrew Ladd,ANDREW.LADD,8471217,1985-12-12,21.0,L,F,L,CHI,20072008,R,19.0,51.12,2.69,38.23,1.0,0.0,2.0,3.0,8.0,8.0,8.0
52,Andrew Murray,ANDREW.MURRAY,8469685,1981-11-06,25.0,C,F,L,CBJ,20072008,R,39.0,18.12,0.46,6.94,0.0,0.0,0.0,0.0,1.0,2.0,2.0
53,Andrew Peters,ANDREW.PETERS,8467355,1980-05-05,27.0,L,F,L,BUF,20072008,R,44.0,1.87,0.04,0.58,0.0,0.0,0.0,0.0,1.0,1.0,1.0
54,Andy Greene,ANDY.GREENE,8472382,1982-10-30,24.0,D,D,L,N.J,20072008,R,58.0,118.45,2.04,29.74,2.0,2.0,1.0,5.0,19.0,27.0,44.0
55,Andy Hilbert,ANDY.HILBERT,8468517,1981-02-06,26.0,C,F,L,NYI,20072008,R,70.0,13.1,0.19,2.84,0.0,0.0,0.0,0.0,1.0,1.0,1.0
56,Andy McDonald,ANDY.MCDONALD,8468434,1977-08-25,30.0,C,F,L,ANA,20072008,R,33.0,111.15,3.37,48.74,0.0,3.0,0.0,3.0,25.0,29.0,34.0
57,Andy McDonald,ANDY.MCDONALD,8468434,1977-08-25,30.0,C,F,L,STL,20072008,R,48.0,166.05,3.46,57.23,3.0,4.0,7.0,14.0,17.0,21.0,27.0
58,Andy Sutton,ANDY.SUTTON,8467304,1975-03-10,32.0,D,D,L,NYI,20072008,R,58.0,49.25,0.85,12.53,0.0,0.0,1.0,1.0,10.0,13.0,18.0
59,Andy Wozniewski,ANDY.WOZNIEWSKI,8471188,1980-05-25,27.0,D,D,L,TOR,20072008,R,48.0,9.87,0.21,2.85,0.0,0.0,0.0,0.0,3.0,3.0,3.0
60,Anthony Stewart,ANTHONY.STEWART,8470618,1985-01-05,22.0,C,F,R,FLA,20072008,R,26.0,3.48,0.13,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Antoine Vermette,ANTOINE.VERMETTE,8468535,1982-07-20,25.0,C,F,L,OTT,20072008,R,80.0,116.25,1.45,22.42,4.0,2.0,4.0,10.0,19.0,28.0,33.0
62,Anton Stralman,ANTON.STRALMAN,8471873,1986-08-01,21.0,D,D,R,TOR,20072008,R,50.0,73.42,1.47,21.69,0.0,1.0,1.0,2.0,9.0,13.0,19.0
63,Anton Volchenkov,ANTON.VOLCHENKOV,8468501,1982-02-25,25.0,D,D,L,OTT,20072008,R,66.0,7.02,0.11,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Antti Miettinen,ANTTI.MIETTINEN,8468704,1980-07-03,27.0,R,F,R,DAL,20072008,R,69.0,178.08,2.58,36.41,5.0,2.0,1.0,8.0,23.0,33.0,42.0
65,Antti Pihlstrom,ANTTI.PIHLSTROM,8473973,1984-10-22,22.0,L,F,L,NSH,20072008,R,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Anze Kopitar,ANZE.KOPITAR,8471685,1987-08-24,20.0,C,F,L,L.A,20072008,R,82.0,327.6,4.0,53.74,12.0,9.0,12.0,33.0,58.0,77.0,91.0
67,Arron Asham,ARRON.ASHAM,8465025,1978-04-13,29.0,R,F,R,N.J,20072008,R,76.0,55.48,0.73,10.97,0.0,0.0,1.0,1.0,4.0,7.0,8.0
68,B.J. Crombeen,B.J..CROMBEEN,8470647,1985-07-10,22.0,R,F,R,DAL,20072008,R,8.0,0.35,0.04,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Barret Jackman,BARRET.JACKMAN,8467890,1981-03-05,26.0,D,D,L,STL,20072008,R,77.0,124.9,1.62,25.06,1.0,1.0,1.0,3.0,13.0,20.0,33.0
70,Barry Tallackson,BARRY.TALLACKSON,8470199,1983-04-14,24.0,R,F,R,N.J,20072008,R,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Bates Battaglia,BATES.BATTAGLIA,8460620,1975-12-13,31.0,L,F,L,TOR,20072008,R,13.0,0.95,0.07,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Ben Eager,BEN.EAGER,8470280,1984-01-22,23.0,L,F,L,CHI,20072008,R,9.0,2.85,0.32,3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Ben Eager,BEN.EAGER,8470280,1984-01-22,23.0,L,F,L,PHI,20072008,R,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Ben Guite,BEN.GUITE,8466300,1978-07-17,29.0,R,F,R,COL,20072008,R,79.0,4.4,0.06,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Ben Walter,BEN.WALTER,8471372,1984-05-11,23.0,C,F,L,NYI,20072008,R,8.0,0.1,0.01,0.2,1.0,0.0,0.0,1.0,1.0,1.0,1.0
76,Benjamin Ondrus,BENJAMIN.ONDRUS,8468868,1982-06-25,25.0,R,F,R,TOR,20072008,R,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Benoit Pouliot,BENOIT.POULIOT,8471678,1986-09-29,20.0,L,F,L,MIN,20072008,R,11.0,11.45,1.04,16.12,0.0,1.0,0.0,1.0,3.0,3.0,3.0
78,Bill Guerin,BILL.GUERIN,8456464,1970-11-09,36.0,R,F,R,NYI,20072008,R,81.0,291.37,3.6,54.93,7.0,5.0,2.0,14.0,53.0,71.0,91.0
79,Bill Thomas,BILL.THOMAS,8472361,1983-06-20,24.0,R,F,R,ARI,20072008,R,6.0,7.27,1.21,31.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Blair Betts,BLAIR.BETTS,8467361,1980-02-16,27.0,C,F,L,NYR,20072008,R,75.0,8.1,0.11,1.53,0.0,0.0,0.0,0.0,0.0,1.0,1.0
81,Blair Jones,BLAIR.JONES,8471767,1986-09-27,20.0,C,F,R,T.B,20072008,R,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Blake Comeau,BLAKE.COMEAU,8471260,1986-02-18,21.0,L,F,R,NYI,20072008,R,51.0,33.98,0.67,10.63,1.0,1.0,0.0,2.0,4.0,4.0,5.0
83,Bobby Allen,BOBBY.ALLEN,8467378,1978-11-14,28.0,D,D,L,BOS,20072008,R,19.0,13.5,0.71,11.14,0.0,0.0,0.0,0.0,3.0,3.0,5.0
84,Bobby Holik,BOBBY.HOLIK,8447958,1971-01-01,36.0,C,F,R,ATL,20072008,R,82.0,142.63,1.74,27.26,3.0,0.0,1.0,4.0,16.0,21.0,29.0
85,Bobby Ryan,BOBBY.RYAN,8471676,1987-03-17,20.0,R,F,R,ANA,20072008,R,22.0,54.95,2.5,34.75,3.0,0.0,1.0,4.0,9.0,14.0,15.0
86,Boris Valabik,BORIS.VALABIK,8471223,1986-02-14,21.0,D,D,L,ATL,20072008,R,7.0,0.3,0.04,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Boyd Devereaux,BOYD.DEVEREAUX,8464960,1978-04-16,29.0,C,F,L,TOR,20072008,R,62.0,6.42,0.1,1.46,0.0,0.0,0.0,0.0,0.0,1.0,2.0
88,Boyd Gordon,BOYD.GORDON,8470159,1983-10-19,23.0,C/R,F,R,WSH,20072008,R,67.0,18.78,0.28,4.31,0.0,0.0,0.0,0.0,2.0,4.0,4.0
89,Brad Boyes,BRAD.BOYES,8468504,1982-04-17,25.0,C/R,F,R,STL,20072008,R,81.0,309.03,3.82,57.82,11.0,4.0,4.0,19.0,51.0,78.0,104.0
90,Brad Isbister,BRAD.ISBISTER,8462094,1977-05-07,30.0,L,F,R,VAN,20072008,R,55.0,26.4,0.48,6.34,0.0,1.0,0.0,1.0,3.0,5.0,5.0
91,Brad Larsen,BRAD.LARSEN,8462082,1977-06-28,30.0,L,F,L,ATL,20072008,R,62.0,2.97,0.05,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Brad Lukowich,BRAD.LUKOWICH,8460580,1976-08-12,31.0,D,D,L,T.B,20072008,R,58.0,9.08,0.16,2.61,0.0,0.0,0.0,0.0,0.0,0.0,2.0
93,Brad May,BRAD.MAY,8457261,1971-11-29,35.0,L,F,L,ANA,20072008,R,60.0,1.48,0.02,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Brad Richards,BRAD.RICHARDS,8467389,1980-05-02,27.0,C,F,L,DAL,20072008,R,12.0,48.63,4.05,53.71,0.0,2.0,1.0,3.0,5.0,7.0,16.0
95,Brad Richards,BRAD.RICHARDS,8467389,1980-05-02,27.0,C,F,L,T.B,20072008,R,61.0,307.35,5.04,86.92,9.0,7.0,9.0,25.0,62.0,88.0,134.0
96,Brad Richardson,BRAD.RICHARDSON,8470755,1985-02-04,22.0,R,F,L,COL,20072008,R,22.0,0.82,0.04,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Brad Stuart,BRAD.STUART,8467331,1979-11-06,27.0,D,D,L,DET,20072008,R,9.0,15.08,1.68,20.32,0.0,0.0,0.0,0.0,4.0,4.0,5.0
98,Brad Stuart,BRAD.STUART,8467331,1979-11-06,27.0,D,D,L,L.A,20072008,R,63.0,198.88,3.16,39.82,2.0,4.0,4.0,10.0,39.0,62.0,98.0
99,Brad Winchester,BRAD.WINCHESTER,8468515,1981-03-01,26.0,L,F,L,DAL,20072008,R,41.0,12.07,0.29,4.17,0.0,0.0,0.0,0.0,1.0,1.0,2.0
100,Brady Murray,BRADY.MURRAY,8470744,1984-08-17,23.0,L,F,L,L.A,20072008,R,4.0,0.42,0.1,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Brandon Bochenski,BRANDON.BOCHENSKI,8469666,1982-04-04,25.0,R,F,R,ANA,20072008,R,12.0,37.5,3.12,46.67,1.0,1.0,0.0,2.0,8.0,12.0,15.0
102,Brandon Bochenski,BRANDON.BOCHENSKI,8469666,1982-04-04,25.0,R,F,R,BOS,20072008,R,20.0,24.98,1.25,22.55,0.0,1.0,0.0,1.0,4.0,6.0,6.0
103,Brandon Bochenski,BRANDON.BOCHENSKI,8469666,1982-04-04,25.0,R,F,R,NSH,20072008,R,8.0,4.22,0.53,8.23,0.0,0.0,0.0,0.0,1.0,1.0,1.0
104,Brandon Dubinsky,BRANDON.DUBINSKY,8471273,1986-04-29,21.0,C,F,L,NYR,20072008,R,82.0,195.73,2.39,33.62,1.0,2.0,4.0,7.0,26.0,33.0,38.0
105,Brandon Nolan,BRANDON.NOLAN,8469522,1983-07-18,24.0,C,F,L,CAR,20072008,R,6.0,0.1,0.02,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Branislav Mezei,BRANISLAV.MEZEI,8467883,1980-10-08,26.0,D,D,L,FLA,20072008,R,56.0,1.88,0.03,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Branko Radivojevic,BRANKO.RADIVOJEVIC,8467966,1980-11-24,26.0,R,F,R,MIN,20072008,R,72.0,26.72,0.37,5.75,1.0,0.0,1.0,2.0,4.0,5.0,5.0
108,Braydon Coburn,BRAYDON.COBURN,8470601,1985-02-27,22.0,D,D,L,PHI,20072008,R,77.0,191.22,2.48,33.51,5.0,4.0,6.0,15.0,24.0,40.0,59.0
109,Brendan Bell,BRENDAN.BELL,8469516,1983-03-31,24.0,D,D,L,ARI,20072008,R,2.0,2.03,1.02,12.94,0.0,0.0,0.0,0.0,0.0,0.0,1.0
110,Brendan Morrison,BRENDAN.MORRISON,8459461,1975-08-15,32.0,C,F,L,VAN,20072008,R,39.0,131.03,3.36,44.21,3.0,6.0,5.0,14.0,14.0,19.0,25.0
111,Brendan Shanahan,BRENDAN.SHANAHAN,8451302,1969-01-23,38.0,L,F,R,NYR,20072008,R,73.0,283.62,3.89,55.23,11.0,2.0,6.0,19.0,91.0,117.0,139.0
112,Brendan Witt,BRENDAN.WITT,8459433,1975-02-20,32.0,D,D,L,NYI,20072008,R,59.0,9.62,0.16,2.62,0.0,0.0,0.0,0.0,2.0,2.0,3.0
113,Brenden Morrow,BRENDEN.MORROW,8466160,1979-01-16,28.0,L,F,L,DAL,20072008,R,82.0,340.78,4.16,59.92,12.0,8.0,8.0,28.0,67.0,99.0,107.0
114,Brent Burns,BRENT.BURNS,8470613,1985-03-09,22.0,D,D,R,MIN,20072008,R,81.0,252.78,3.12,48.12,8.0,6.0,5.0,19.0,40.0,59.0,90.0
115,Brent Seabrook,BRENT.SEABROOK,8470607,1985-04-20,22.0,D,D,R,CHI,20072008,R,80.0,181.85,2.27,31.07,4.0,1.0,7.0,12.0,22.0,28.0,41.0
116,Brent Sopel,BRENT.SOPEL,8462176,1977-01-07,30.0,D,D,R,CHI,20072008,R,56.0,57.15,1.02,12.78,0.0,1.0,0.0,1.0,5.0,9.0,12.0
117,Bret Hedican,BRET.HEDICAN,8456547,1970-08-10,37.0,D,D,L,CAR,20072008,R,66.0,41.32,0.63,7.39,0.0,1.0,0.0,1.0,4.0,4.0,5.0
118,Brett Clark,BRETT.CLARK,8465122,1976-12-23,30.0,D,D,L,COL,20072008,R,57.0,180.65,3.17,47.19,1.0,4.0,2.0,7.0,29.0,35.0,60.0
119,Brett Lebda,BRETT.LEBDA,8471187,1982-01-15,25.0,D,D,L,DET,20072008,R,78.0,107.35,1.38,19.09,0.0,3.0,0.0,3.0,18.0,24.0,35.0
120,Brett McLean,BRETT.MCLEAN,8465968,1978-08-14,29.0,C,F,L,FLA,20072008,R,65.0,129.68,2.0,31.68,3.0,6.0,4.0,13.0,23.0,26.0,28.0
121,Brett Sterling,BRETT.STERLING,8470737,1984-04-24,23.0,L,F,L,ATL,20072008,R,13.0,19.82,1.52,24.54,0.0,0.0,1.0,1.0,1.0,1.0,3.0
122,Brian Boyle,BRIAN.BOYLE,8470619,1984-12-18,22.0,C,F,L,L.A,20072008,R,8.0,15.72,1.96,23.81,0.0,0.0,0.0,0.0,4.0,4.0,4.0
123,Brian Campbell,BRIAN.CAMPBELL,8466285,1979-05-23,28.0,D,D,L,BUF,20072008,R,63.0,251.3,3.99,56.91,3.0,7.0,10.0,20.0,36.0,57.0,80.0
124,Brian Campbell,BRIAN.CAMPBELL,8466285,1979-05-23,28.0,D,D,L,S.J,20072008,R,20.0,96.27,4.81,79.45,2.0,6.0,3.0,11.0,16.0,20.0,23.0
125,Brian Gionta,BRIAN.GIONTA,8467407,1979-01-18,28.0,R,F,R,N.J,20072008,R,81.0,282.7,3.49,52.72,8.0,9.0,4.0,21.0,65.0,90.0,100.0
126,Brian Lee,BRIAN.LEE,8471683,1987-03-26,20.0,D,D,R,OTT,20072008,R,6.0,8.87,1.48,23.84,0.0,0.0,0.0,0.0,0.0,1.0,2.0
127,Brian McGrattan,BRIAN.MCGRATTAN,8467977,1981-09-02,26.0,R,F,R,OTT,20072008,R,37.0,0.72,0.02,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,Brian Pothier,BRIAN.POTHIER,8468427,1977-04-15,30.0,D,D,L,WSH,20072008,R,38.0,67.78,1.78,25.19,1.0,3.0,0.0,4.0,8.0,8.0,16.0
129,Brian Rafalski,BRIAN.RAFALSKI,8467856,1973-09-28,33.0,D,D,R,DET,20072008,R,73.0,319.42,4.38,61.46,10.0,5.0,16.0,31.0,63.0,81.0,134.0
130,Brian Rolston,BRIAN.ROLSTON,8458525,1973-02-21,34.0,R,F,L,MIN,20072008,R,80.0,298.82,3.74,57.3,11.0,8.0,8.0,27.0,82.0,113.0,150.0
131,Brian Sutherby,BRIAN.SUTHERBY,8468506,1982-03-01,25.0,C,F,L,ANA,20072008,R,44.0,4.67,0.11,1.53,0.0,0.0,0.0,0.0,1.0,2.0,2.0
132,Brian Sutherby,BRIAN.SUTHERBY,8468506,1982-03-01,25.0,C,F,L,WSH,20072008,R,5.0,0.17,0.03,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,Brian Willsie,BRIAN.WILLSIE,8465113,1978-03-16,29.0,R,F,R,L.A,20072008,R,53.0,21.73,0.41,6.01,0.0,0.0,0.0,0.0,1.0,1.0,1.0
134,Brooks Laich,BROOKS.LAICH,8469639,1983-06-23,24.0,C,F,L,WSH,20072008,R,82.0,103.62,1.26,19.06,8.0,1.0,1.0,10.0,17.0,22.0,24.0
135,Brooks Orpik,BROOKS.ORPIK,8468498,1980-09-26,26.0,D,D,L,PIT,20072008,R,78.0,40.95,0.52,7.01,0.0,0.0,0.0,0.0,2.0,5.0,10.0
136,Bruno Gervais,BRUNO.GERVAIS,8470774,1984-10-03,22.0,D,D,R,NYI,20072008,R,60.0,124.28,2.07,33.15,0.0,3.0,1.0,4.0,20.0,23.0,36.0
137,Bryan Allen,BRYAN.ALLEN,8467332,1980-08-21,27.0,D,D,L,FLA,20072008,R,71.0,37.13,0.52,8.19,0.0,1.0,1.0,2.0,3.0,4.0,5.0
138,Bryan Berard,BRYAN.BERARD,8462032,1977-03-05,30.0,D,D,L,NYI,20072008,R,54.0,220.32,4.08,60.47,4.0,2.0,9.0,15.0,40.0,58.0,101.0
139,Bryan Bickell,BRYAN.BICKELL,8471254,1986-03-09,21.0,L,F,L,CHI,20072008,R,4.0,0.95,0.24,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,Bryan Little,BRYAN.LITTLE,8473412,1987-11-12,19.0,C,F,R,ATL,20072008,R,48.0,149.95,3.12,45.84,2.0,0.0,0.0,2.0,13.0,18.0,24.0
141,Bryan McCabe,BRYAN.MCCABE,8459462,1975-06-08,32.0,D,D,L,TOR,20072008,R,54.0,241.2,4.47,65.99,4.0,6.0,6.0,16.0,42.0,58.0,88.0
