,player,player_upper,api_id,birthday,season_age,position,position_type,shoots,team,season,session,gp,toi,toi_gp,toi_perc,g,a1,a2,points,isf,iff,icf
13,Adrian Aucoin,ADRIAN.AUCOIN,8459053,1973-07-03,34.0,D,D,R,CGY,20072008,R,76.0,1123.42,14.78,32.46,5.0,4.0,6.0,15.0,69.0,115.0,178.0
14,Alain Nasreddine,ALAIN.NASREDDINE,8459558,1975-07-10,32.0,D,D,L,PIT,20072008,R,6.0,66.2,11.03,24.87,0.0,0.0,0.0,0.0,3.0,4.0,6.0
15,Ales Hemsky,ALES.HEMSKY,8469466,1983-08-13,24.0,R,F,R,EDM,20072008,R,74.0,1049.85,14.19,30.37,10.0,22.0,6.0,38.0,141.0,197.0,264.0
16,Ales Kotalik,ALES.KOTALIK,8467502,1978-12-23,28.0,R,F,R,BUF,20072008,R,78.0,927.15,11.89,25.57,10.0,2.0,6.0,18.0,135.0,174.0,214.0
17,Alex Burrows,ALEX.BURROWS,8470358,1981-04-11,26.0,L,F,L,VAN,20072008,R,82.0,958.0,11.68,25.37,7.0,12.0,6.0,25.0,111.0,159.0,199.0
18,Alex Edler,ALEX.EDLER,8471303,1986-04-21,21.0,D,D,L,VAN,20072008,R,75.0,1205.15,16.07,34.7,4.0,2.0,4.0,10.0,76.0,120.0,167.0
19,Alex Foster,ALEX.FOSTER,8472334,1984-08-26,23.0,C,F,L,TOR,20072008,R,3.0,10.53,3.51,8.02,0.0,0.0,0.0,0.0,1.0,1.0,2.0
20,Alex Frolov,ALEX.FROLOV,8468500,1982-06-19,25.0,L,F,R,L.A,20072008,R,71.0,1041.6,14.67,31.76,17.0,22.0,7.0,46.0,119.0,164.0,209.0
21,Alex Goligoski,ALEX.GOLIGOSKI,8471274,1985-07-30,22.0,D,D,L,PIT,20072008,R,3.0,32.68,10.89,24.64,0.0,1.0,1.0,2.0,0.0,0.0,1.0
22,Alex Kovalev,ALEX.KOVALEV,8458529,1973-02-24,34.0,R,F,L,MTL,20072008,R,82.0,1122.7,13.69,29.56,17.0,11.0,6.0,34.0,143.0,186.0,251.0
23,Alex Nikulin,ALEX.NIKULIN,8471334,1985-08-25,22.0,C,F,L,OTT,20072008,R,2.0,9.18,4.59,9.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Alex Ovechkin,ALEX.OVECHKIN,8471214,1985-09-17,21.0,L,F,R,WSH,20072008,R,82.0,1377.7,16.8,36.2,39.0,23.0,6.0,68.0,309.0,448.0,622.0
25,Alex Picard,ALEX.PICARD,8470678,1985-07-05,22.0,D,D,L,PHI,20072008,R,4.0,43.5,10.88,25.76,0.0,0.0,0.0,0.0,2.0,4.0,5.0
26,Alex Picard,ALEX.PICARD,8470678,1985-07-05,22.0,D,D,L,T.B,20072008,R,20.0,344.53,17.23,36.13,2.0,0.0,2.0,4.0,17.0,24.0,34.0
27,Alex Picard (L),ALEX.PICARD2,8471221,1985-10-09,21.0,L,F,L,CBJ,20072008,R,3.0,17.53,5.84,13.24,0.0,0.0,0.0,0.0,1.0,1.0,2.0
28,Alex Radulov,ALEX.RADULOV,8471228,1986-07-05,21.0,R,F,L,NSH,20072008,R,81.0,1052.78,13.0,28.17,21.0,20.0,10.0,51.0,147.0,186.0,225.0
29,Alex Semin,ALEX.SEMIN,8470120,1984-03-03,23.0,L,F,R,WSH,20072008,R,63.0,772.07,12.26,26.08,16.0,3.0,3.0,22.0,123.0,191.0,251.0
30,Alex Steen,ALEX.STEEN,8470257,1984-03-01,23.0,C,F,L,TOR,20072008,R,76.0,1000.22,13.16,28.75,12.0,12.0,7.0,31.0,139.0,205.0,263.0
31,Alex Tanguay,ALEX.TANGUAY,8467338,1979-11-21,27.0,L,F,L,CGY,20072008,R,78.0,1072.93,13.76,30.09,13.0,17.0,8.0,38.0,99.0,134.0,162.0
32,Alexei Ponikarovsky,ALEXEI.PONIKAROVSKY,8467412,1980-04-09,27.0,L,F,L,TOR,20072008,R,66.0,848.72,12.86,28.22,13.0,6.0,5.0,24.0,123.0,182.0,235.0
33,Alexei Semenov,ALEXEI.SEMENOV,8467909,1981-04-10,26.0,D,D,L,S.J,20072008,R,22.0,273.27,12.42,26.15,0.0,1.0,2.0,3.0,15.0,27.0,36.0
34,Alexei Zhitnik,ALEXEI.ZHITNIK,8458595,1972-10-10,34.0,D,D,L,ATL,20072008,R,65.0,1087.62,16.73,35.04,3.0,0.0,2.0,5.0,73.0,115.0,162.0
35,Allan Rourke,ALLAN.ROURKE,8467469,1980-03-06,27.0,D,D,L,EDM,20072008,R,13.0,137.05,10.54,23.42,0.0,0.0,0.0,0.0,4.0,7.0,12.0
36,Anders Eriksson,ANDERS.ERIKSSON,8459443,1975-01-09,32.0,D,D,L,CGY,20072008,R,61.0,983.02,16.12,34.76,0.0,3.0,9.0,12.0,39.0,65.0,97.0
37,Andre Roy,ANDRE.ROY,8460639,1975-02-08,32.0,R,F,L,T.B,20072008,R,63.0,335.98,5.33,11.21,4.0,3.0,0.0,7.0,35.0,47.0,67.0
38,Andreas Karlsson,ANDREAS.KARLSSON,8459571,1975-08-19,32.0,C,F,L,T.B,20072008,R,58.0,430.53,7.42,15.47,2.0,1.0,1.0,4.0,25.0,40.0,51.0
39,Andreas Lilja,ANDREAS.LILJA,8468534,1975-07-13,32.0,D,D,L,DET,20072008,R,79.0,1198.27,15.17,33.04,2.0,5.0,4.0,11.0,69.0,96.0,127.0
40,Andrei Kostitsyn,ANDREI.KOSTITSYN,8470603,1985-02-03,22.0,L,F,L,MTL,20072008,R,78.0,963.05,12.35,26.58,14.0,12.0,9.0,35.0,115.0,167.0,211.0
41,Andrei Markov,ANDREI.MARKOV,8467496,1978-12-20,28.0,D,D,L,MTL,20072008,R,82.0,1337.72,16.31,35.22,4.0,7.0,9.0,20.0,72.0,112.0,179.0
42,Andrei Zyuzin,ANDREI.ZYUZIN,8465250,1978-01-21,29.0,D,D,L,CHI,20072008,R,32.0,366.2,11.44,25.35,1.0,0.0,1.0,2.0,19.0,24.0,43.0
43,Andrej Meszaros,ANDREJ.MESZAROS,8471236,1985-10-13,21.0,D,D,L,OTT,20072008,R,82.0,1311.87,16.0,34.76,2.0,9.0,7.0,18.0,106.0,155.0,240.0
44,Andrej Sekera,ANDREJ.SEKERA,8471284,1986-06-08,21.0,D,D,L,BUF,20072008,R,36.0,591.4,16.43,35.46,1.0,2.0,1.0,4.0,22.0,35.0,58.0
45,Andrew Alberts,ANDREW.ALBERTS,8469626,1981-06-30,26.0,D,D,L,BOS,20072008,R,35.0,620.87,17.74,37.06,0.0,1.0,1.0,2.0,24.0,38.0,60.0
46,Andrew Brunette,ANDREW.BRUNETTE,8459596,1973-08-24,34.0,L,F,L,COL,20072008,R,82.0,995.18,12.14,25.68,11.0,17.0,11.0,39.0,90.0,114.0,142.0
47,Andrew Cogliano,ANDREW.COGLIANO,8471699,1987-06-14,20.0,C,F,L,EDM,20072008,R,82.0,881.1,10.75,23.07,15.0,10.0,10.0,35.0,81.0,105.0,124.0
48,Andrew Ebbett,ANDREW.EBBETT,8473682,1983-01-02,24.0,C,F,L,ANA,20072008,R,3.0,30.18,10.06,24.36,0.0,0.0,0.0,0.0,3.0,4.0,4.0
49,Andrew Ference,ANDREW.FERENCE,8466333,1979-03-17,28.0,D,D,L,BOS,20072008,R,59.0,1017.22,17.24,36.56,0.0,6.0,3.0,9.0,53.0,78.0,136.0
50,Andrew Ladd,ANDREW.LADD,8471217,1985-12-12,21.0,L,F,L,CAR,20072008,R,43.0,441.22,10.26,22.21,9.0,1.0,5.0,15.0,69.0,90.0,113.0
51,Andrew Ladd,ANDREW.LADD,8471217,1985-12-12,21.0,L,F,L,CHI,20072008,R,20.0,245.03,12.25,26.17,4.0,4.0,1.0,9.0,47.0,56.0,61.0
52,Andrew Murray,ANDREW.MURRAY,8469685,1981-11-06,25.0,C,F,L,CBJ,20072008,R,39.0,408.28,10.47,22.56,6.0,1.0,3.0,10.0,41.0,55.0,62.0
53,Andrew Peters,ANDREW.PETERS,8467355,1980-05-05,27.0,L,F,L,BUF,20072008,R,44.0,136.33,3.1,6.72,1.0,0.0,1.0,2.0,17.0,20.0,27.0
54,Andy Greene,ANDY.GREENE,8472382,1982-10-30,24.0,D,D,L,N.J,20072008,R,59.0,909.93,15.42,32.74,0.0,2.0,0.0,2.0,31.0,47.0,74.0
55,Andy Hilbert,ANDY.HILBERT,8468517,1981-02-06,26.0,C,F,L,NYI,20072008,R,70.0,734.13,10.49,22.86,8.0,5.0,3.0,16.0,110.0,147.0,174.0
56,Andy McDonald,ANDY.MCDONALD,8468434,1977-08-25,30.0,C,F,L,ANA,20072008,R,33.0,426.22,12.92,28.72,3.0,4.0,5.0,12.0,51.0,71.0,88.0
57,Andy McDonald,ANDY.MCDONALD,8468434,1977-08-25,30.0,C,F,L,STL,20072008,R,49.0,704.03,14.37,30.26,11.0,6.0,5.0,22.0,84.0,116.0,131.0
58,Andy Sutton,ANDY.SUTTON,8467304,1975-03-10,32.0,D,D,L,NYI,20072008,R,58.0,810.65,13.98,30.91,1.0,2.0,3.0,6.0,44.0,71.0,98.0
59,Andy Wozniewski,ANDY.WOZNIEWSKI,8471188,1980-05-25,27.0,D,D,L,TOR,20072008,R,48.0,547.28,11.4,25.18,2.0,2.0,5.0,9.0,28.0,46.0,64.0
60,Anthony Stewart,ANTHONY.STEWART,8470618,1985-01-05,22.0,C,F,R,FLA,20072008,R,26.0,155.57,5.98,12.96,0.0,1.0,0.0,1.0,21.0,25.0,29.0
61,Antoine Vermette,ANTOINE.VERMETTE,8468535,1982-07-20,25.0,C,F,L,OTT,20072008,R,81.0,995.77,12.29,26.67,16.0,12.0,7.0,35.0,129.0,174.0,207.0
62,Anton Stralman,ANTON.STRALMAN,8471873,1986-08-01,21.0,D,D,R,TOR,20072008,R,50.0,559.07,11.18,24.0,3.0,2.0,2.0,7.0,31.0,43.0,64.0
63,Anton Volchenkov,ANTON.VOLCHENKOV,8468501,1982-02-25,25.0,D,D,L,OTT,20072008,R,67.0,1066.58,15.92,34.6,1.0,4.0,7.0,12.0,65.0,102.0,160.0
64,Antti Miettinen,ANTTI.MIETTINEN,8468704,1980-07-03,27.0,R,F,R,DAL,20072008,R,69.0,772.97,11.2,24.32,10.0,7.0,8.0,25.0,111.0,163.0,210.0
65,Antti Pihlstrom,ANTTI.PIHLSTROM,8473973,1984-10-22,22.0,L,F,L,NSH,20072008,R,1.0,9.13,9.13,19.12,0.0,0.0,0.0,0.0,1.0,2.0,2.0
66,Anze Kopitar,ANZE.KOPITAR,8471685,1987-08-24,20.0,C,F,L,L.A,20072008,R,82.0,1240.12,15.12,32.56,15.0,12.0,8.0,35.0,130.0,189.0,236.0
67,Arron Asham,ARRON.ASHAM,8465025,1978-04-13,29.0,R,F,R,N.J,20072008,R,77.0,599.75,7.79,16.47,6.0,3.0,0.0,9.0,63.0,72.0,92.0
68,B.J. Crombeen,B.J..CROMBEEN,8470647,1985-07-10,22.0,R,F,R,DAL,20072008,R,8.0,52.55,6.57,15.03,0.0,1.0,1.0,2.0,9.0,9.0,10.0
69,Barret Jackman,BARRET.JACKMAN,8467890,1981-03-05,26.0,D,D,L,STL,20072008,R,78.0,1343.43,17.22,37.13,1.0,5.0,6.0,12.0,64.0,89.0,126.0
70,Barry Tallackson,BARRY.TALLACKSON,8470199,1983-04-14,24.0,R,F,R,N.J,20072008,R,3.0,21.15,7.05,15.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
71,Bates Battaglia,BATES.BATTAGLIA,8460620,1975-12-13,31.0,L,F,L,TOR,20072008,R,13.0,57.75,4.44,10.2,0.0,0.0,0.0,0.0,6.0,7.0,8.0
72,Ben Eager,BEN.EAGER,8470280,1984-01-22,23.0,L,F,L,CHI,20072008,R,9.0,55.65,6.18,13.97,0.0,2.0,0.0,2.0,5.0,9.0,9.0
73,Ben Eager,BEN.EAGER,8470280,1984-01-22,23.0,L,F,L,PHI,20072008,R,23.0,126.05,5.48,12.3,0.0,0.0,0.0,0.0,11.0,14.0,19.0
74,Ben Guite,BEN.GUITE,8466300,1978-07-17,29.0,R,F,R,COL,20072008,R,79.0,797.67,10.1,21.33,8.0,5.0,1.0,14.0,87.0,117.0,145.0
75,Ben Walter,BEN.WALTER,8471372,1984-05-11,23.0,C,F,L,NYI,20072008,R,8.0,45.05,5.63,11.52,0.0,0.0,0.0,0.0,5.0,7.0,9.0
76,Benjamin Ondrus,BENJAMIN.ONDRUS,8468868,1982-06-25,25.0,R,F,R,TOR,20072008,R,3.0,14.23,4.74,9.73,0.0,0.0,0.0,0.0,4.0,4.0,5.0
77,Benoit Pouliot,BENOIT.POULIOT,8471678,1986-09-29,20.0,L,F,L,MIN,20072008,R,11.0,85.25,7.75,16.54,2.0,0.0,0.0,2.0,7.0,13.0,14.0
78,Bill Guerin,BILL.GUERIN,8456464,1970-11-09,36.0,R,F,R,NYI,20072008,R,81.0,1083.85,13.38,29.13,15.0,9.0,5.0,29.0,171.0,232.0,297.0
79,Bill Thomas,BILL.THOMAS,8472361,1983-06-20,24.0,R,F,R,ARI,20072008,R,7.0,82.98,11.85,23.73,0.0,0.0,0.0,0.0,9.0,15.0,16.0
80,Blair Betts,BLAIR.BETTS,8467361,1980-02-16,27.0,C,F,L,NYR,20072008,R,75.0,665.13,8.87,18.97,1.0,3.0,1.0,5.0,78.0,99.0,122.0
81,Blair Jones,BLAIR.JONES,8471767,1986-09-27,20.0,C,F,R,T.B,20072008,R,4.0,7.67,1.92,3.92,0.0,0.0,0.0,0.0,1.0,2.0,3.0
82,Blake Comeau,BLAKE.COMEAU,8471260,1986-02-18,21.0,L,F,R,NYI,20072008,R,51.0,550.12,10.79,22.91,6.0,5.0,1.0,12.0,60.0,80.0,110.0
83,Bobby Allen,BOBBY.ALLEN,8467378,1978-11-14,28.0,D,D,L,BOS,20072008,R,19.0,167.17,8.8,18.32,0.0,0.0,0.0,0.0,7.0,10.0,13.0
84,Bobby Holik,BOBBY.HOLIK,8447958,1971-01-01,36.0,C,F,R,ATL,20072008,R,82.0,1049.02,12.79,27.04,11.0,6.0,7.0,24.0,114.0,154.0,199.0
85,Bobby Ryan,BOBBY.RYAN,8471676,1987-03-17,20.0,R,F,R,ANA,20072008,R,23.0,201.27,8.75,19.09,2.0,3.0,1.0,6.0,28.0,35.0,42.0
86,Boris Valabik,BORIS.VALABIK,8471223,1986-02-14,21.0,D,D,L,ATL,20072008,R,7.0,99.02,14.15,32.02,0.0,0.0,0.0,0.0,5.0,9.0,13.0
87,Boyd Devereaux,BOYD.DEVEREAUX,8464960,1978-04-16,29.0,C,F,L,TOR,20072008,R,62.0,702.58,11.33,24.76,6.0,7.0,4.0,17.0,73.0,102.0,130.0
88,Boyd Gordon,BOYD.GORDON,8470159,1983-10-19,23.0,C/R,F,R,WSH,20072008,R,67.0,756.43,11.29,24.24,4.0,4.0,5.0,13.0,84.0,119.0,146.0
89,Brad Boyes,BRAD.BOYES,8468504,1982-04-17,25.0,C/R,F,R,STL,20072008,R,82.0,1124.2,13.71,29.6,32.0,8.0,6.0,46.0,151.0,223.0,268.0
90,Brad Isbister,BRAD.ISBISTER,8462094,1977-05-07,30.0,L,F,R,VAN,20072008,R,55.0,553.13,10.06,21.98,6.0,2.0,2.0,10.0,66.0,83.0,99.0
91,Brad Larsen,BRAD.LARSEN,8462082,1977-06-28,30.0,L,F,L,ATL,20072008,R,62.0,527.15,8.5,18.08,1.0,2.0,1.0,4.0,35.0,43.0,47.0
92,Brad Lukowich,BRAD.LUKOWICH,8460580,1976-08-12,31.0,D,D,L,T.B,20072008,R,59.0,826.92,14.02,29.5,1.0,2.0,3.0,6.0,25.0,38.0,65.0
93,Brad May,BRAD.MAY,8457261,1971-11-29,35.0,L,F,L,ANA,20072008,R,61.0,397.83,6.52,14.35,2.0,0.0,1.0,3.0,31.0,44.0,57.0
94,Brad Richards,BRAD.RICHARDS,8467389,1980-05-02,27.0,C,F,L,DAL,20072008,R,12.0,162.42,13.53,29.88,1.0,3.0,2.0,6.0,14.0,22.0,30.0
95,Brad Richards,BRAD.RICHARDS,8467389,1980-05-02,27.0,C,F,L,T.B,20072008,R,62.0,1008.9,16.27,34.0,6.0,9.0,5.0,20.0,148.0,200.0,261.0
96,Brad Richardson,BRAD.RICHARDSON,8470755,1985-02-04,22.0,R,F,L,COL,20072008,R,22.0,251.77,11.44,24.22,2.0,2.0,1.0,5.0,29.0,39.0,49.0
97,Brad Stuart,BRAD.STUART,8467331,1979-11-06,27.0,D,D,L,DET,20072008,R,9.0,143.62,15.96,35.77,1.0,0.0,1.0,2.0,16.0,20.0,28.0
98,Brad Stuart,BRAD.STUART,8467331,1979-11-06,27.0,D,D,L,L.A,20072008,R,63.0,946.68,15.03,32.78,3.0,5.0,3.0,11.0,67.0,84.0,125.0
99,Brad Winchester,BRAD.WINCHESTER,8468515,1981-03-01,26.0,L,F,L,DAL,20072008,R,41.0,295.2,7.2,15.86,1.0,0.0,2.0,3.0,35.0,44.0,57.0
100,Brady Murray,BRADY.MURRAY,8470744,1984-08-17,23.0,L,F,L,L.A,20072008,R,4.0,40.7,10.18,23.71,1.0,0.0,0.0,1.0,2.0,3.0,3.0
101,Brandon Bochenski,BRANDON.BOCHENSKI,8469666,1982-04-04,25.0,R,F,R,ANA,20072008,R,12.0,112.0,9.33,19.73,1.0,0.0,1.0,2.0,9.0,11.0,15.0
102,Brandon Bochenski,BRANDON.BOCHENSKI,8469666,1982-04-04,25.0,R,F,R,BOS,20072008,R,20.0,229.32,11.47,24.18,0.0,3.0,2.0,5.0,26.0,36.0,47.0
103,Brandon Bochenski,BRANDON.BOCHENSKI,8469666,1982-04-04,25.0,R,F,R,NSH,20072008,R,8.0,67.77,8.47,17.73,1.0,0.0,2.0,3.0,8.0,12.0,15.0
104,Brandon Dubinsky,BRANDON.DUBINSKY,8471273,1986-04-29,21.0,C,F,L,NYR,20072008,R,82.0,970.58,11.84,25.31,13.0,10.0,9.0,32.0,130.0,178.0,209.0
105,Brandon Nolan,BRANDON.NOLAN,8469522,1983-07-18,24.0,C,F,L,CAR,20072008,R,6.0,43.4,7.23,16.36,0.0,0.0,1.0,1.0,2.0,4.0,5.0
106,Branislav Mezei,BRANISLAV.MEZEI,8467883,1980-10-08,26.0,D,D,L,FLA,20072008,R,57.0,723.98,12.7,27.18,2.0,0.0,2.0,4.0,35.0,50.0,83.0
107,Branko Radivojevic,BRANKO.RADIVOJEVIC,8467966,1980-11-24,26.0,R,F,R,MIN,20072008,R,72.0,923.08,12.82,27.1,5.0,6.0,3.0,14.0,80.0,121.0,159.0
108,Braydon Coburn,BRAYDON.COBURN,8470601,1985-02-27,22.0,D,D,L,PHI,20072008,R,78.0,1281.97,16.44,36.25,4.0,3.0,12.0,19.0,85.0,128.0,175.0
109,Brendan Bell,BRENDAN.BELL,8469516,1983-03-31,24.0,D,D,L,ARI,20072008,R,2.0,27.05,13.52,31.31,0.0,0.0,0.0,0.0,0.0,1.0,1.0
110,Brendan Morrison,BRENDAN.MORRISON,8459461,1975-08-15,32.0,C,F,L,VAN,20072008,R,39.0,416.92,10.69,24.04,6.0,1.0,4.0,11.0,38.0,55.0,73.0
111,Brendan Shanahan,BRENDAN.SHANAHAN,8451302,1969-01-23,38.0,L,F,R,NYR,20072008,R,73.0,854.42,11.7,24.84,10.0,6.0,8.0,24.0,149.0,195.0,247.0
112,Brendan Witt,BRENDAN.WITT,8459433,1975-02-20,32.0,D,D,L,NYI,20072008,R,59.0,1008.27,17.09,37.01,2.0,2.0,2.0,6.0,56.0,76.0,115.0
113,Brenden Morrow,BRENDEN.MORROW,8466160,1979-01-16,28.0,L,F,L,DAL,20072008,R,82.0,1160.28,14.15,30.83,16.0,16.0,8.0,40.0,127.0,177.0,238.0
114,Brent Burns,BRENT.BURNS,8470613,1985-03-09,22.0,D,D,R,MIN,20072008,R,81.0,1376.15,16.99,36.08,7.0,5.0,10.0,22.0,106.0,155.0,231.0
115,Brent Seabrook,BRENT.SEABROOK,8470607,1985-04-20,22.0,D,D,R,CHI,20072008,R,81.0,1289.13,15.92,35.22,5.0,5.0,7.0,17.0,113.0,140.0,188.0
116,Brent Sopel,BRENT.SOPEL,8462176,1977-01-07,30.0,D,D,R,CHI,20072008,R,57.0,838.12,14.7,33.11,1.0,5.0,8.0,14.0,45.0,60.0,88.0
117,Bret Hedican,BRET.HEDICAN,8456547,1970-08-10,37.0,D,D,L,CAR,20072008,R,66.0,1086.55,16.46,36.68,2.0,4.0,9.0,15.0,73.0,94.0,143.0
118,Brett Clark,BRETT.CLARK,8465122,1976-12-23,30.0,D,D,L,COL,20072008,R,57.0,933.32,16.37,34.58,3.0,2.0,8.0,13.0,54.0,73.0,95.0
119,Brett Lebda,BRETT.LEBDA,8471187,1982-01-15,25.0,D,D,L,DET,20072008,R,78.0,1146.9,14.7,32.14,3.0,3.0,4.0,10.0,92.0,136.0,189.0
120,Brett McLean,BRETT.MCLEAN,8465968,1978-08-14,29.0,C,F,L,FLA,20072008,R,67.0,792.55,11.83,25.37,9.0,7.0,6.0,22.0,108.0,137.0,175.0
121,Brett Sterling,BRETT.STERLING,8470737,1984-04-24,23.0,L,F,L,ATL,20072008,R,13.0,139.47,10.73,22.8,1.0,0.0,1.0,2.0,13.0,21.0,27.0
122,Brian Boyle,BRIAN.BOYLE,8470619,1984-12-18,22.0,C,F,L,L.A,20072008,R,8.0,90.87,11.36,24.59,4.0,1.0,0.0,5.0,15.0,16.0,18.0
123,Brian Campbell,BRIAN.CAMPBELL,8466285,1979-05-23,28.0,D,D,L,BUF,20072008,R,63.0,1118.72,17.76,38.41,2.0,11.0,8.0,21.0,61.0,93.0,132.0
124,Brian Campbell,BRIAN.CAMPBELL,8466285,1979-05-23,28.0,D,D,L,S.J,20072008,R,20.0,368.1,18.41,37.87,1.0,3.0,3.0,7.0,23.0,37.0,51.0
125,Brian Gionta,BRIAN.GIONTA,8467407,1979-01-18,28.0,R,F,R,N.J,20072008,R,82.0,1125.88,13.73,29.01,13.0,12.0,4.0,29.0,184.0,261.0,318.0
126,Brian Lee,BRIAN.LEE,8471683,1987-03-26,20.0,D,D,R,OTT,20072008,R,6.0,88.72,14.79,31.32,0.0,0.0,0.0,0.0,6.0,8.0,11.0
127,Brian McGrattan,BRIAN.MCGRATTAN,8467977,1981-09-02,26.0,R,F,R,OTT,20072008,R,38.0,108.23,2.85,6.12,0.0,1.0,2.0,3.0,11.0,15.0,15.0
128,Brian Pothier,BRIAN.POTHIER,8468427,1977-04-15,30.0,D,D,L,WSH,20072008,R,38.0,586.98,15.45,34.36,4.0,3.0,2.0,9.0,56.0,72.0,104.0
129,Brian Rafalski,BRIAN.RAFALSKI,8467856,1973-09-28,33.0,D,D,R,DET,20072008,R,73.0,1294.9,17.74,38.65,3.0,5.0,14.0,22.0,105.0,139.0,210.0
130,Brian Rolston,BRIAN.ROLSTON,8458525,1973-02-21,34.0,R,F,L,MIN,20072008,R,80.0,1118.97,13.99,29.77,18.0,5.0,5.0,28.0,187.0,264.0,333.0
131,Brian Sutherby,BRIAN.SUTHERBY,8468506,1982-03-01,25.0,C,F,L,ANA,20072008,R,45.0,324.85,7.22,15.76,0.0,1.0,0.0,1.0,40.0,49.0,62.0
132,Brian Sutherby,BRIAN.SUTHERBY,8468506,1982-03-01,25.0,C,F,L,WSH,20072008,R,5.0,33.57,6.71,15.84,1.0,0.0,0.0,1.0,3.0,7.0,8.0
133,Brian Willsie,BRIAN.WILLSIE,8465113,1978-03-16,29.0,R,F,R,L.A,20072008,R,53.0,533.97,10.07,21.2,4.0,4.0,4.0,12.0,60.0,84.0,109.0
134,Brooks Laich,BROOKS.LAICH,8469639,1983-06-23,24.0,C,F,L,WSH,20072008,R,82.0,823.83,10.05,21.65,10.0,11.0,2.0,23.0,96.0,122.0,152.0
135,Brooks Orpik,BROOKS.ORPIK,8468498,1980-09-26,26.0,D,D,L,PIT,20072008,R,78.0,1164.63,14.93,32.97,1.0,4.0,4.0,9.0,47.0,81.0,119.0
136,Bruno Gervais,BRUNO.GERVAIS,8470774,1984-10-03,22.0,D,D,R,NYI,20072008,R,60.0,890.08,14.83,32.19,0.0,4.0,4.0,8.0,30.0,50.0,92.0
137,Bryan Allen,BRYAN.ALLEN,8467332,1980-08-21,27.0,D,D,L,FLA,20072008,R,73.0,1241.72,17.01,36.44,1.0,3.0,8.0,12.0,59.0,92.0,152.0
138,Bryan Berard,BRYAN.BERARD,8462032,1977-03-05,30.0,D,D,L,NYI,20072008,R,54.0,700.45,12.97,28.39,1.0,3.0,3.0,7.0,46.0,64.0,103.0
139,Bryan Bickell,BRYAN.BICKELL,8471254,1986-03-09,21.0,L,F,L,CHI,20072008,R,4.0,35.52,8.88,19.6,0.0,0.0,0.0,0.0,3.0,5.0,5.0
140,Bryan Little,BRYAN.LITTLE,8473412,1987-11-12,19.0,C,F,R,ATL,20072008,R,48.0,587.4,12.24,26.3,4.0,9.0,1.0,14.0,63.0,76.0,94.0
