,player,player_upper,api_id,birthday,season_age,position,position_type,shoots,team,season,session,gp,toi,toi_gp,toi_perc,g,a1,a2,points,isf,iff,icf
27,Alex Picard (L),ALEX.PICARD2,8471221,1985-10-09,21.0,L,F,L,CBJ,20072008,R,3.0,20.3,6.77,11.28,0.0,0.0,0.0,0.0,1.0,1.0,2.0
28,Alex Radulov,ALEX.RADULOV,8471228,1986-07-05,21.0,R,F,L,NSH,20072008,R,81.0,1327.75,16.39,26.97,26.0,21.0,11.0,58.0,183.0,233.0,280.0
29,Alex Semin,ALEX.SEMIN,8470120,1984-03-03,23.0,L,F,R,WSH,20072008,R,63.0,1065.4,16.91,27.73,26.0,10.0,6.0,42.0,185.0,274.0,358.0
30,Alex Steen,ALEX.STEEN,8470257,1984-03-01,23.0,C,F,L,TOR,20072008,R,76.0,1373.98,18.08,29.69,15.0,16.0,11.0,42.0,169.0,249.0,320.0
31,Alex Tanguay,ALEX.TANGUAY,8467338,1979-11-21,27.0,L,F,L,CGY,20072008,R,78.0,1463.38,18.76,30.92,18.0,31.0,9.0,58.0,121.0,165.0,207.0
32,Alexei Ponikarovsky,ALEXEI.PONIKAROVSKY,8467412,1980-04-09,27.0,L,F,L,TOR,20072008,R,66.0,1049.72,15.9,26.18,18.0,9.0,8.0,35.0,150.0,222.0,282.0
33,Alexei Semenov,ALEXEI.SEMENOV,8467909,1981-04-10,26.0,D,D,L,S.J,20072008,R,22.0,335.37,15.24,25.11,1.0,1.0,2.0,4.0,23.0,36.0,47.0
34,Alexei Zhitnik,ALEXEI.ZHITNIK,8458595,1972-10-10,34.0,D,D,L,ATL,20072008,R,65.0,1236.28,19.02,31.04,3.0,1.0,4.0,8.0,79.0,124.0,173.0
35,Allan Rourke,ALLAN.ROURKE,8467469,1980-03-06,27.0,D,D,L,EDM,20072008,R,13.0,142.1,10.93,17.78,0.0,0.0,0.0,0.0,4.0,7.0,12.0
36,Anders Eriksson,ANDERS.ERIKSSON,8459443,1975-01-09,32.0,D,D,L,CGY,20072008,R,61.0,1267.87,20.78,34.18,1.0,5.0,12.0,18.0,50.0,84.0,124.0
37,Andre Roy,ANDRE.ROY,8460639,1975-02-08,32.0,R,F,L,T.B,20072008,R,63.0,343.85,5.46,9.01,4.0,3.0,0.0,7.0,38.0,50.0,70.0
38,Andreas Karlsson,ANDREAS.KARLSSON,8459571,1975-08-19,32.0,C,F,L,T.B,20072008,R,58.0,560.15,9.66,15.93,2.0,1.0,1.0,4.0,31.0,47.0,61.0
39,Andreas Lilja,ANDREAS.LILJA,8468534,1975-07-13,32.0,D,D,L,DET,20072008,R,79.0,1440.37,18.23,30.02,2.0,6.0,4.0,12.0,72.0,99.0,133.0
40,Andrei Kostitsyn,ANDREI.KOSTITSYN,8470603,1985-02-03,22.0,L,F,L,MTL,20072008,R,78.0,1221.65,15.66,25.72,26.0,17.0,10.0,53.0,156.0,224.0,277.0
41,Andrei Markov,ANDREI.MARKOV,8467496,1978-12-20,28.0,D,D,L,MTL,20072008,R,82.0,2045.92,24.95,40.96,16.0,21.0,21.0,58.0,145.0,228.0,346.0
42,Andrei Zyuzin,ANDREI.ZYUZIN,8465250,1978-01-21,29.0,D,D,L,CHI,20072008,R,32.0,479.0,14.97,24.74,2.0,1.0,2.0,5.0,34.0,46.0,68.0
43,Andrej Meszaros,ANDREJ.MESZAROS,8471236,1985-10-13,21.0,D,D,L,OTT,20072008,R,82.0,1724.82,21.03,34.64,9.0,16.0,11.0,36.0,160.0,235.0,354.0
44,Andrej Sekera,ANDREJ.SEKERA,8471284,1986-06-08,21.0,D,D,L,BUF,20072008,R,36.0,700.95,19.47,31.96,1.0,4.0,2.0,7.0,27.0,43.0,71.0
45,Andrew Alberts,ANDREW.ALBERTS,8469626,1981-06-30,26.0,D,D,L,BOS,20072008,R,35.0,721.7,20.62,33.95,0.0,1.0,1.0,2.0,25.0,39.0,62.0
46,Andrew Brunette,ANDREW.BRUNETTE,8459596,1973-08-24,34.0,L,F,L,COL,20072008,R,82.0,1274.6,15.54,25.55,19.0,25.0,15.0,59.0,125.0,158.0,197.0
47,Andrew Cogliano,ANDREW.COGLIANO,8471699,1987-06-14,20.0,C,F,L,EDM,20072008,R,82.0,1120.28,13.66,22.25,18.0,14.0,13.0,45.0,98.0,130.0,156.0
48,Andrew Ebbett,ANDREW.EBBETT,8473682,1983-01-02,24.0,C,F,L,ANA,20072008,R,3.0,39.92,13.31,22.11,0.0,0.0,0.0,0.0,3.0,5.0,6.0
49,Andrew Ference,ANDREW.FERENCE,8466333,1979-03-17,28.0,D,D,L,BOS,20072008,R,59.0,1312.42,22.24,36.39,1.0,9.0,6.0,16.0,71.0,105.0,178.0
50,Andrew Ladd,ANDREW.LADD,8471217,1985-12-12,21.0,L,F,L,CAR,20072008,R,43.0,505.02,11.74,19.46,9.0,4.0,5.0,18.0,76.0,102.0,125.0
51,Andrew Ladd,ANDREW.LADD,8471217,1985-12-12,21.0,L,F,L,CHI,20072008,R,20.0,299.42,14.97,24.66,5.0,4.0,3.0,12.0,55.0,64.0,69.0
52,Andrew Murray,ANDREW.MURRAY,8469685,1981-11-06,25.0,C,F,L,CBJ,20072008,R,39.0,456.52,11.71,19.28,6.0,1.0,3.0,10.0,45.0,61.0,69.0
53,Andrew Peters,ANDREW.PETERS,8467355,1980-05-05,27.0,L,F,L,BUF,20072008,R,44.0,138.38,3.15,5.13,1.0,0.0,1.0,2.0,18.0,21.0,28.0
54,Andy Greene,ANDY.GREENE,8472382,1982-10-30,24.0,D,D,L,N.J,20072008,R,59.0,1149.67,19.49,32.02,2.0,6.0,2.0,10.0,50.0,75.0,121.0
55,Andy Hilbert,ANDY.HILBERT,8468517,1981-02-06,26.0,C,F,L,NYI,20072008,R,70.0,943.35,13.48,22.16,8.0,5.0,3.0,16.0,127.0,167.0,201.0
56,Andy McDonald,ANDY.MCDONALD,8468434,1977-08-25,30.0,C,F,L,ANA,20072008,R,33.0,550.72,16.69,27.23,4.0,7.0,5.0,16.0,79.0,104.0,126.0
57,Andy McDonald,ANDY.MCDONALD,8468434,1977-08-25,30.0,C,F,L,STL,20072008,R,49.0,914.72,18.67,30.73,14.0,10.0,12.0,36.0,103.0,139.0,162.0
58,Andy Sutton,ANDY.SUTTON,8467304,1975-03-10,32.0,D,D,L,NYI,20072008,R,58.0,1053.47,18.16,29.87,1.0,3.0,4.0,8.0,57.0,87.0,123.0
59,Andy Wozniewski,ANDY.WOZNIEWSKI,8471188,1980-05-25,27.0,D,D,L,TOR,20072008,R,48.0,680.3,14.17,23.28,2.0,2.0,5.0,9.0,34.0,52.0,70.0
60,Anthony Stewart,ANTHONY.STEWART,8470618,1985-01-05,22.0,C,F,R,FLA,20072008,R,26.0,159.65,6.14,10.12,0.0,1.0,0.0,1.0,21.0,25.0,29.0
61,Antoine Vermette,ANTOINE.VERMETTE,8468535,1982-07-20,25.0,C,F,L,OTT,20072008,R,81.0,1423.62,17.58,28.94,24.0,17.0,12.0,53.0,175.0,236.0,280.0
62,Anton Stralman,ANTON.STRALMAN,8471873,1986-08-01,21.0,D,D,R,TOR,20072008,R,50.0,640.58,12.81,21.07,3.0,3.0,3.0,9.0,40.0,56.0,83.0
63,Anton Volchenkov,ANTON.VOLCHENKOV,8468501,1982-02-25,25.0,D,D,L,OTT,20072008,R,67.0,1374.17,20.51,33.75,1.0,4.0,10.0,15.0,71.0,110.0,169.0
64,Antti Miettinen,ANTTI.MIETTINEN,8468704,1980-07-03,27.0,R,F,R,DAL,20072008,R,69.0,965.37,13.99,23.06,15.0,10.0,9.0,34.0,136.0,198.0,257.0
65,Antti Pihlstrom,ANTTI.PIHLSTROM,8473973,1984-10-22,22.0,L,F,L,NSH,20072008,R,1.0,9.13,9.13,15.22,0.0,0.0,0.0,0.0,1.0,2.0,2.0
66,Anze Kopitar,ANZE.KOPITAR,8471685,1987-08-24,20.0,C,F,L,L.A,20072008,R,82.0,1696.8,20.69,34.09,32.0,23.0,22.0,77.0,201.0,282.0,346.0
67,Arron Asham,ARRON.ASHAM,8465025,1978-04-13,29.0,R,F,R,N.J,20072008,R,77.0,658.83,8.56,14.03,6.0,3.0,1.0,10.0,68.0,80.0,101.0
68,B.J. Crombeen,B.J..CROMBEEN,8470647,1985-07-10,22.0,R,F,R,DAL,20072008,R,8.0,53.05,6.63,10.87,0.0,1.0,1.0,2.0,9.0,9.0,10.0
69,Barret Jackman,BARRET.JACKMAN,8467890,1981-03-05,26.0,D,D,L,STL,20072008,R,78.0,1747.23,22.4,36.94,2.0,6.0,8.0,16.0,80.0,112.0,164.0
70,Barry Tallackson,BARRY.TALLACKSON,8470199,1983-04-14,24.0,R,F,R,N.J,20072008,R,3.0,21.15,7.05,11.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0
71,Bates Battaglia,BATES.BATTAGLIA,8460620,1975-12-13,31.0,L,F,L,TOR,20072008,R,13.0,61.9,4.76,7.76,0.0,0.0,0.0,0.0,6.0,7.0,8.0
72,Ben Eager,BEN.EAGER,8470280,1984-01-22,23.0,L,F,L,CHI,20072008,R,9.0,59.58,6.62,10.99,0.0,2.0,0.0,2.0,5.0,9.0,9.0
73,Ben Eager,BEN.EAGER,8470280,1984-01-22,23.0,L,F,L,PHI,20072008,R,23.0,126.13,5.48,9.06,0.0,0.0,0.0,0.0,11.0,14.0,19.0
74,Ben Guite,BEN.GUITE,8466300,1978-07-17,29.0,R,F,R,COL,20072008,R,79.0,1033.3,13.08,21.49,11.0,8.0,3.0,22.0,103.0,139.0,170.0
75,Ben Walter,BEN.WALTER,8471372,1984-05-11,23.0,C,F,L,NYI,20072008,R,8.0,48.67,6.08,10.14,1.0,0.0,0.0,1.0,6.0,8.0,10.0
76,Benjamin Ondrus,BENJAMIN.ONDRUS,8468868,1982-06-25,25.0,R,F,R,TOR,20072008,R,3.0,15.37,5.12,8.38,0.0,0.0,0.0,0.0,4.0,4.0,5.0
77,Benoit Pouliot,BENOIT.POULIOT,8471678,1986-09-29,20.0,L,F,L,MIN,20072008,R,11.0,97.03,8.82,14.48,2.0,1.0,0.0,3.0,10.0,16.0,17.0
78,Bill Guerin,BILL.GUERIN,8456464,1970-11-09,36.0,R,F,R,NYI,20072008,R,81.0,1408.42,17.39,28.58,23.0,14.0,7.0,44.0,227.0,307.0,397.0
79,Bill Thomas,BILL.THOMAS,8472361,1983-06-20,24.0,R,F,R,ARI,20072008,R,7.0,91.98,13.14,21.64,0.0,0.0,0.0,0.0,9.0,15.0,16.0
80,Blair Betts,BLAIR.BETTS,8467361,1980-02-16,27.0,C,F,L,NYR,20072008,R,75.0,889.72,11.86,19.41,2.0,4.0,1.0,7.0,85.0,108.0,134.0
81,Blair Jones,BLAIR.JONES,8471767,1986-09-27,20.0,C,F,R,T.B,20072008,R,4.0,7.67,1.92,3.19,0.0,0.0,0.0,0.0,1.0,2.0,3.0
82,Blake Comeau,BLAKE.COMEAU,8471260,1986-02-18,21.0,L,F,R,NYI,20072008,R,51.0,595.4,11.67,19.16,8.0,6.0,1.0,15.0,67.0,89.0,120.0
83,Bobby Allen,BOBBY.ALLEN,8467378,1978-11-14,28.0,D,D,L,BOS,20072008,R,19.0,187.93,9.89,16.17,0.0,0.0,0.0,0.0,10.0,13.0,18.0
84,Bobby Holik,BOBBY.HOLIK,8447958,1971-01-01,36.0,C,F,R,ATL,20072008,R,82.0,1309.78,15.97,26.13,15.0,9.0,10.0,34.0,140.0,187.0,240.0
85,Bobby Ryan,BOBBY.RYAN,8471676,1987-03-17,20.0,R,F,R,ANA,20072008,R,23.0,259.05,11.26,18.33,5.0,3.0,2.0,10.0,37.0,49.0,57.0
86,Boris Valabik,BORIS.VALABIK,8471223,1986-02-14,21.0,D,D,L,ATL,20072008,R,7.0,116.85,16.69,27.82,0.0,0.0,0.0,0.0,5.0,9.0,13.0
87,Boyd Devereaux,BOYD.DEVEREAUX,8464960,1978-04-16,29.0,C,F,L,TOR,20072008,R,62.0,866.42,13.97,22.97,7.0,7.0,4.0,18.0,81.0,112.0,142.0
88,Boyd Gordon,BOYD.GORDON,8470159,1983-10-19,23.0,C/R,F,R,WSH,20072008,R,67.0,1054.17,15.73,25.87,7.0,4.0,5.0,16.0,100.0,138.0,166.0
89,Brad Boyes,BRAD.BOYES,8468504,1982-04-17,25.0,C/R,F,R,STL,20072008,R,82.0,1471.43,17.94,29.55,43.0,12.0,10.0,65.0,207.0,307.0,379.0
90,Brad Isbister,BRAD.ISBISTER,8462094,1977-05-07,30.0,L,F,R,VAN,20072008,R,55.0,595.28,10.82,17.71,6.0,3.0,2.0,11.0,71.0,90.0,107.0
91,Brad Larsen,BRAD.LARSEN,8462082,1977-06-28,30.0,L,F,L,ATL,20072008,R,62.0,559.62,9.03,14.82,1.0,2.0,1.0,4.0,35.0,43.0,47.0
92,Brad Lukowich,BRAD.LUKOWICH,8460580,1976-08-12,31.0,D,D,L,T.B,20072008,R,59.0,979.73,16.61,27.42,1.0,2.0,4.0,7.0,28.0,41.0,70.0
93,Brad May,BRAD.MAY,8457261,1971-11-29,35.0,L,F,L,ANA,20072008,R,61.0,403.92,6.62,10.84,3.0,0.0,1.0,4.0,34.0,47.0,60.0
94,Brad Richards,BRAD.RICHARDS,8467389,1980-05-02,27.0,C,F,L,DAL,20072008,R,12.0,230.95,19.25,31.73,2.0,6.0,3.0,11.0,21.0,32.0,51.0
95,Brad Richards,BRAD.RICHARDS,8467389,1980-05-02,27.0,C,F,L,T.B,20072008,R,62.0,1505.62,24.28,40.1,18.0,19.0,14.0,51.0,228.0,317.0,434.0
96,Brad Richardson,BRAD.RICHARDSON,8470755,1985-02-04,22.0,R,F,L,COL,20072008,R,22.0,296.55,13.48,22.32,2.0,2.0,1.0,5.0,32.0,42.0,52.0
97,Brad Stuart,BRAD.STUART,8467331,1979-11-06,27.0,D,D,L,DET,20072008,R,9.0,186.53,20.73,34.54,1.0,0.0,1.0,2.0,21.0,25.0,34.0
98,Brad Stuart,BRAD.STUART,8467331,1979-11-06,27.0,D,D,L,L.A,20072008,R,63.0,1335.93,21.21,35.0,5.0,9.0,7.0,21.0,111.0,153.0,231.0
99,Brad Winchester,BRAD.WINCHESTER,8468515,1981-03-01,26.0,L,F,L,DAL,20072008,R,41.0,310.48,7.57,12.5,1.0,0.0,2.0,3.0,36.0,45.0,59.0
100,Brady Murray,BRADY.MURRAY,8470744,1984-08-17,23.0,L,F,L,L.A,20072008,R,4.0,45.22,11.3,18.84,1.0,0.0,0.0,1.0,2.0,3.0,3.0
101,Brandon Bochenski,BRANDON.BOCHENSKI,8469666,1982-04-04,25.0,R,F,R,ANA,20072008,R,12.0,149.65,12.47,20.48,2.0,1.0,1.0,4.0,17.0,23.0,30.0
102,Brandon Bochenski,BRANDON.BOCHENSKI,8469666,1982-04-04,25.0,R,F,R,BOS,20072008,R,20.0,255.95,12.8,21.11,0.0,4.0,2.0,6.0,30.0,42.0,53.0
103,Brandon Bochenski,BRANDON.BOCHENSKI,8469666,1982-04-04,25.0,R,F,R,NSH,20072008,R,8.0,72.07,9.01,14.81,1.0,0.0,2.0,3.0,9.0,13.0,16.0
104,Brandon Dubinsky,BRANDON.DUBINSKY,8471273,1986-04-29,21.0,C,F,L,NYR,20072008,R,82.0,1188.98,14.5,23.69,14.0,12.0,14.0,40.0,157.0,212.0,248.0
105,Brandon Nolan,BRANDON.NOLAN,8469522,1983-07-18,24.0,C,F,L,CAR,20072008,R,6.0,43.53,7.26,12.09,0.0,0.0,1.0,1.0,2.0,4.0,5.0
106,Branislav Mezei,BRANISLAV.MEZEI,8467883,1980-10-08,26.0,D,D,L,FLA,20072008,R,57.0,824.23,14.46,23.87,2.0,0.0,2.0,4.0,38.0,53.0,88.0
107,Branko Radivojevic,BRANKO.RADIVOJEVIC,8467966,1980-11-24,26.0,R,F,R,MIN,20072008,R,72.0,1074.23,14.92,24.42,7.0,6.0,4.0,17.0,90.0,135.0,174.0
108,Braydon Coburn,BRAYDON.COBURN,8470601,1985-02-27,22.0,D,D,L,PHI,20072008,R,78.0,1656.2,21.23,34.9,9.0,8.0,19.0,36.0,113.0,173.0,240.0
109,Brendan Bell,BRENDAN.BELL,8469516,1983-03-31,24.0,D,D,L,ARI,20072008,R,2.0,29.63,14.82,24.69,0.0,0.0,0.0,0.0,0.0,1.0,2.0
110,Brendan Morrison,BRENDAN.MORRISON,8459461,1975-08-15,32.0,C,F,L,VAN,20072008,R,39.0,599.82,15.38,25.39,9.0,7.0,9.0,25.0,54.0,76.0,100.0
111,Brendan Shanahan,BRENDAN.SHANAHAN,8451302,1969-01-23,38.0,L,F,R,NYR,20072008,R,73.0,1351.57,18.51,30.18,23.0,9.0,14.0,46.0,265.0,340.0,418.0
112,Brendan Witt,BRENDAN.WITT,8459433,1975-02-20,32.0,D,D,L,NYI,20072008,R,59.0,1284.5,21.77,35.76,2.0,3.0,2.0,7.0,58.0,78.0,118.0
113,Brenden Morrow,BRENDEN.MORROW,8466160,1979-01-16,28.0,L,F,L,DAL,20072008,R,82.0,1639.37,19.99,32.95,32.0,26.0,16.0,74.0,207.0,292.0,365.0
114,Brent Burns,BRENT.BURNS,8470613,1985-03-09,22.0,D,D,R,MIN,20072008,R,81.0,1871.23,23.1,37.89,15.0,12.0,16.0,43.0,158.0,231.0,341.0
115,Brent Seabrook,BRENT.SEABROOK,8470607,1985-04-20,22.0,D,D,R,CHI,20072008,R,81.0,1740.75,21.49,35.37,9.0,8.0,15.0,32.0,151.0,186.0,247.0
116,Brent Sopel,BRENT.SOPEL,8462176,1977-01-07,30.0,D,D,R,CHI,20072008,R,57.0,1156.52,20.29,33.34,1.0,7.0,12.0,20.0,53.0,73.0,106.0
117,Bret Hedican,BRET.HEDICAN,8456547,1970-08-10,37.0,D,D,L,CAR,20072008,R,66.0,1273.5,19.3,31.84,2.0,5.0,10.0,17.0,80.0,103.0,153.0
118,Brett Clark,BRETT.CLARK,8465122,1976-12-23,30.0,D,D,L,COL,20072008,R,57.0,1319.95,23.16,38.18,5.0,6.0,10.0,21.0,87.0,112.0,165.0
119,Brett Lebda,BRETT.LEBDA,8471187,1982-01-15,25.0,D,D,L,DET,20072008,R,78.0,1285.12,16.48,27.12,3.0,6.0,5.0,14.0,110.0,160.0,224.0
120,Brett McLean,BRETT.MCLEAN,8465968,1978-08-14,29.0,C,F,L,FLA,20072008,R,67.0,1087.63,16.23,26.71,14.0,13.0,10.0,37.0,140.0,174.0,215.0
121,Brett Sterling,BRETT.STERLING,8470737,1984-04-24,23.0,L,F,L,ATL,20072008,R,13.0,161.12,12.39,20.27,1.0,0.0,2.0,3.0,14.0,23.0,31.0
122,Brian Boyle,BRIAN.BOYLE,8470619,1984-12-18,22.0,C,F,L,L.A,20072008,R,8.0,109.0,13.62,22.47,4.0,1.0,0.0,5.0,19.0,20.0,22.0
123,Brian Campbell,BRIAN.CAMPBELL,8466285,1979-05-23,28.0,D,D,L,BUF,20072008,R,63.0,1581.6,25.1,41.09,5.0,19.0,19.0,43.0,102.0,160.0,225.0
124,Brian Campbell,BRIAN.CAMPBELL,8466285,1979-05-23,28.0,D,D,L,S.J,20072008,R,20.0,502.27,25.11,41.02,3.0,9.0,7.0,19.0,40.0,59.0,77.0
125,Brian Gionta,BRIAN.GIONTA,8467407,1979-01-18,28.0,R,F,R,N.J,20072008,R,82.0,1497.12,18.26,29.93,22.0,22.0,9.0,53.0,257.0,364.0,432.0
126,Brian Lee,BRIAN.LEE,8471683,1987-03-26,20.0,D,D,R,OTT,20072008,R,6.0,100.93,16.82,27.65,0.0,0.0,1.0,1.0,6.0,9.0,13.0
127,Brian McGrattan,BRIAN.MCGRATTAN,8467977,1981-09-02,26.0,R,F,R,OTT,20072008,R,38.0,109.1,2.87,4.73,0.0,1.0,2.0,3.0,11.0,15.0,15.0
128,Brian Pothier,BRIAN.POTHIER,8468427,1977-04-15,30.0,D,D,L,WSH,20072008,R,38.0,710.48,18.7,30.9,5.0,7.0,2.0,14.0,65.0,81.0,123.0
129,Brian Rafalski,BRIAN.RAFALSKI,8467856,1973-09-28,33.0,D,D,R,DET,20072008,R,73.0,1756.32,24.06,39.61,13.0,11.0,31.0,55.0,175.0,227.0,357.0
130,Brian Rolston,BRIAN.ROLSTON,8458525,1973-02-21,34.0,R,F,L,MIN,20072008,R,80.0,1606.12,20.08,32.95,31.0,14.0,13.0,58.0,283.0,395.0,505.0
131,Brian Sutherby,BRIAN.SUTHERBY,8468506,1982-03-01,25.0,C,F,L,ANA,20072008,R,45.0,395.38,8.79,14.45,0.0,1.0,0.0,1.0,46.0,57.0,70.0
132,Brian Sutherby,BRIAN.SUTHERBY,8468506,1982-03-01,25.0,C,F,L,WSH,20072008,R,5.0,34.1,6.82,11.37,1.0,0.0,0.0,1.0,3.0,7.0,8.0
133,Brian Willsie,BRIAN.WILLSIE,8465113,1978-03-16,29.0,R,F,R,L.A,20072008,R,53.0,563.22,10.63,17.46,4.0,4.0,4.0,12.0,62.0,86.0,111.0
134,Brooks Laich,BROOKS.LAICH,8469639,1983-06-23,24.0,C,F,L,WSH,20072008,R,82.0,1151.75,14.05,23.09,21.0,13.0,3.0,37.0,122.0,155.0,188.0
135,Brooks Orpik,BROOKS.ORPIK,8468498,1980-09-26,26.0,D,D,L,PIT,20072008,R,78.0,1323.35,16.97,27.94,1.0,4.0,6.0,11.0,50.0,88.0,132.0
136,Bruno Gervais,BRUNO.GERVAIS,8470774,1984-10-03,22.0,D,D,R,NYI,20072008,R,60.0,1200.9,20.02,32.92,0.0,8.0,5.0,13.0,59.0,85.0,142.0
137,Bryan Allen,BRYAN.ALLEN,8467332,1980-08-21,27.0,D,D,L,FLA,20072008,R,73.0,1554.08,21.29,34.98,2.0,4.0,10.0,16.0,67.0,102.0,164.0
138,Bryan Berard,BRYAN.BERARD,8462032,1977-03-05,30.0,D,D,L,NYI,20072008,R,54.0,953.1,17.65,29.04,5.0,5.0,12.0,22.0,87.0,124.0,206.0
139,Bryan Bickell,BRYAN.BICKELL,8471254,1986-03-09,21.0,L,F,L,CHI,20072008,R,4.0,36.53,9.13,15.22,0.0,0.0,0.0,0.0,3.0,5.0,5.0
140,Bryan Little,BRYAN.LITTLE,8473412,1987-11-12,19.0,C,F,R,ATL,20072008,R,48.0,749.25,15.61,25.61,6.0,9.0,1.0,16.0,76.0,95.0,120.0
